900,2100,900,2100,RoomTag,0.92,The label fits well within the large open room space. The anchor point (200, 200) is near the visual centre of the interior. The bounding box [105, 171, 295, 229] is entirely within the crop, avoids all walls (which are at the edges and top), and maintains clear distance from the door openings visible at the top. No obstacles are present. This placement follows the room-label convention of centring in the interior.
1250,1857,1250,1837,RoomTag,0.92,The label is a RoomTag for the large room visible in the upper portion of the crop. The anchor point (200, 200) is near the visual centre of the room interior. The proposed position at (200, 180) keeps the label well within the room boundaries, away from all walls (thick black lines on top at ~y=140 and sides), away from the diagonal cross-bracing in the room, and safely clear of the already_placed RoomTag (centred at -150, 443 – far outside this crop). The label bounding box [105, 151, 295, 209] fits entirely within crop bounds and does not overlap walls, fixtures, or other annotations. This placement respects the tag-specific rule to centre the label in the room interior with good clearance from all obstacles.
2018,1914,2018,1914,RoomTag,0.92,The anchor point (200, 200) falls within the large circular table/meeting space in the centre-left portion of the crop. This is clearly the interior of a room with ample whitespace. The label bounding box [105, 171, 295, 229] does not intersect any walls, furniture, or the already-placed labels (both far outside the crop at negative x-coordinates). The position respects the 5 px buffer requirement and keeps the label well within crop bounds (0, 0, 400, 400). Placement at the anchor achieves optimal centering within the room's interior.
3158,2109,3158,2109,RoomTag,0.92,The label fits well in the centre of the main room (upper portion of crop). The anchor point (200, 200) is in open whitespace, away from walls (which form the perimeter and internal divisions). The bounding box [105, 171, 295, 229] does not overlap the thick black walls or any already-placed labels (all of which are far to the left, outside the crop). The position respects the 5px buffer from walls and keeps the label fully within the crop boundaries. This is the natural visual centre of the room interior.
3659,1661,3659,1661,RoomTag,1.00,
3404,3624,3404,3624,RoomTag,0.85,The anchor point (200, 200) is in clear whitespace well away from the visible walls (left edge around x=29-98) and the black fixture in the upper-left area (approximately x=60-98, y=295-320). The label dimensions (190×58) would place its bounding box from approximately (105, 171) to (295, 229), which stays safely within the crop bounds and maintains >5px clearance from all walls and fixtures. All already_placed labels are far outside the crop (negative coordinates), so no collision risk. This position is close to the anchor and centres the label in the open room space, following standard room label placement conventions.
4531,1647,4531,1647,RoomTag,0.95,The crop is mostly empty whitespace with a wall segment on the left edge and a fixture (appears to be a bed or furniture) in the bottom-right corner. The anchor point (200, 200) is centrally located in clear whitespace, far from all obstacles. The label's bounding box [105, 171, 295, 229] does not intersect any walls, fixtures, or existing labels (all already_placed labels are far outside crop bounds with negative coordinates). The placement maintains the requested buffer from walls and stays well within the 400×400 crop boundary. This is an ideal position for a room label in the interior space.
4800,2100,4800,2100,RoomTag,1.00,
4677,2709,4677,2709,RoomTag,0.92,The anchor point (200, 200) is in a large empty whitespace region well away from walls, fixtures, and existing labels. All already_placed labels are far outside the crop boundaries (negative coordinates). The label's bounding box [105, 171, 295, 229] fits entirely within the crop (0, 0, 400, 400) and does not intersect any walls or linework visible in the image. This placement follows the room label rule by centering in the clear interior space.
5700,1650,5700,1650,RoomTag,1.00,
4500,3200,4500,3200,RoomTag,1.00,
6577,2935,6577,2935,RoomTag,1.00,
1250,1230,1250,1230,WindowTag,1.00,
1620,1230,1620,1230,WindowTag,1.00,
